ref_id,ref_id_str,machine_name,piezas_hora_teorico
913600,913600,Torno54,127.08
008091,008091,Torno63,47.6
091502,091502,Torno63,60.17
704388,704388,Torno63,36.36
704389,704389,Torno63,14.21
818500,818500,Torno63,23.65
003800,003800,Torno88,90.14
006700,006700,Torno88,48.84
008011,008011,Torno88,67.87
008091,008091,Torno88,71.59
031275,031275,Torno88,97.26
081000,081000,Torno88,81.72
081302,081302,Torno88,70.35
081806,081806,Torno88,59.02
081902,081902,Torno88,65.49
081GJ1,081GJ1,Torno88,77.38
091135,091135,Torno88,91.51
091177,091177,Torno88,87.81
091501,091501,Torno88,73.53
091503,091503,Torno88,90.37
094900,094900,Torno88,61.26
109800,109800,Torno88,61.98
118302,118302,Torno88,24.24
904802,904802,Torno88,55.14
913600,913600,Torno88,79.2
124203.0,124203.0,talladora229 Phauter Luk 6,38.82
