material_lot_id,laminado_id,ref_materia,qty_recibida,udm,peso_bruto,uds,fecha_recepcion_ts
LOTE-20250711-902081,"A/4108 19,15X13,25",902081,8533.0,kg,1.87,4500.0,2025-07-11T00:00:00
LOTE-20250711-081GJ1081290,"A/4426 16,4X10,1",081GJ1/081290,4622.0,kg,1.54,3000.0,2025-07-11T00:00:00
LOTE-20250714-124203,"A/3585 16,8X16,8",124203,23752.0,kg,2.04,11600.0,2025-07-14T00:00:00
LOTE-20250716-603475,"A/1153 34X(22,17/20,83)",603475,19459.0,kg,7.7,2500.0,2025-07-16T00:00:00
LOTE-20250716-124203,"A/3585 16,8X16,8",124203,23859.0,kg,2.04,12000.0,2025-07-16T00:00:00
LOTE-20250716-480454,"A/4285 25X19,5",480454,4692.0,kg,5.09,920.0,2025-07-16T00:00:00
LOTE-20250717-124203,"A/3585 16,8X16,8",124203,24408.0,kg,2.04,11900.0,2025-07-17T00:00:00
LOTE-20250718-012301,"A/3332 23,8X9",012301,5413.0,kg,2.03,2600.0,2025-07-18T00:00:00
LOTE-20250718-429804,"A/3496 17X13,5",429804,4603.0,kg,1.91,2400.0,2025-07-18T00:00:00
LOTE-20250718-08190601,"A/3497 16,1X15,1",081906/01,20595.0,kg,1.72,11900.0,2025-07-18T00:00:00
LOTE-20250718-011028011900,A/3564 23X9,011028/011900,15078.0,kg,1.81,8300.0,2025-07-18T00:00:00
LOTE-20250718-00809103501,"A/3596 17X12,9",008091/03501,4500.0,kg,1.64,2700.0,2025-07-18T00:00:00
LOTE-20250728-613802,"A/1204 37X(17,8/16,3)",613802,12980.0,kg,7.8,1600.0,2025-07-28T00:00:00
LOTE-20250728-100346,"A/1215 44,3X(17,6/15,7)",100346,5181.0,kg,8.85,580.0,2025-07-28T00:00:00
LOTE-20250728-102902,"A/1314 29,8X17,1",102902,6115.0,kg,3.69,1600.0,2025-07-28T00:00:00
LOTE-20250728-081216,"A/3072 16,5X13,1",081216,10699.0,kg,1.52,7000.0,2025-07-28T00:00:00
LOTE-20250728-190301,"A/4063 17,7X12,25",190301,4972.0,kg,2.11,2300.0,2025-07-28T00:00:00
LOTE-20250728-081806,"A/4424 16,2X11,9",081806,9323.0,kg,1.48,6200.0,2025-07-28T00:00:00
LOTE-20250729-091700,"A/1023 14,4X12,4",091700,4422.0,kg,1.23,3500.0,2025-07-29T00:00:00
LOTE-20250729-03304,"A/3063 14,8X10,1",03304,5101.0,kg,1.1,4600.0,2025-07-29T00:00:00
LOTE-20250729-031100,"A/4235 14,7X(11,4/10,8)",031100,9096.0,kg,1.19,7600.0,2025-07-29T00:00:00
LOTE-20250729-081147,"A/4423 14,7X12,1",081147,4608.0,kg,1.2,3800.0,2025-07-29T00:00:00
LOTE-20250730-091232,"A/3074 16,8X9,6",091232,25381.0,kg,1.19,21300.0,2025-07-30T00:00:00
LOTE-20250730-918506,"A/3112 13X10,1",918506,5590.0,kg,0.93,6010.0,2025-07-30T00:00:00
