machine_id,machine_name,ts_cambio,piezas_hasta_cambio,scrap_hasta_cambio,duracion_cambio_min,ops_hasta_cambio
49,Talladora49,2025-06-05 00:53:00,852.0,0.0,58.0,6.0
49,Talladora49,2025-06-09 06:04:00,948.0,0.0,55.0,16.0
49,Talladora49,2025-06-27 16:06:00,1297.0,1.0,58.0,20.0
49,Talladora49,2025-07-03 11:45:00,583.0,22.0,69.0,11.0
49,Talladora49,2025-07-15 05:14:00,1573.0,5.0,30.0,27.0
49,Talladora49,2025-07-16 07:36:00,312.0,0.0,37.0,7.0
49,Talladora49,2025-07-17 06:04:00,451.0,4.0,48.0,4.0
49,Talladora49,2025-07-28 11:42:00,689.0,0.0,35.0,8.0
49,Talladora49,2025-08-04 10:30:00,622.0,2.0,65.0,13.0
49,Talladora49,2025-08-08 11:02:00,865.0,6.0,14.0,10.0
49,Talladora49,2025-08-25 08:32:00,1258.0,12.0,16.0,24.0
52,Talladora52,2025-02-04 14:36:00,5505.0,60.0,36.0,71.0
52,Talladora52,2025-02-17 12:12:00,3224.0,16.0,22.0,49.0
52,Talladora52,2025-02-26 21:14:00,2145.0,15.0,37.0,44.0
52,Talladora52,2025-05-20 17:16:00,7241.0,254.0,67.0,133.0
52,Talladora52,2025-07-09 06:54:00,6308.0,105.0,38.0,45.0
52,Talladora52,2025-08-27 02:38:00,5802.0,92.0,114.0,45.0
55,Talladora55,2025-01-09 05:17:00,1287.0,5.0,41.0,6.0
55,Talladora55,2025-01-23 10:21:00,5431.0,22.0,18.0,26.0
55,Talladora55,2025-02-14 13:00:00,5786.0,122.0,59.0,21.0
55,Talladora55,2025-02-20 18:27:00,4040.0,35.0,41.0,15.0
55,Talladora55,2025-03-11 02:09:00,3725.0,125.0,37.0,19.0
55,Talladora55,2025-03-17 08:49:00,3464.0,61.0,30.0,12.0
55,Talladora55,2025-03-24 12:09:00,4053.0,47.0,32.0,13.0
55,Talladora55,2025-04-10 22:02:00,5625.0,48.0,30.0,20.0
55,Talladora55,2025-04-29 08:56:00,2992.0,48.0,47.0,12.0
55,Talladora55,2025-05-28 12:43:00,12741.0,116.0,75.0,61.0
55,Talladora55,2025-05-28 13:58:00,0.0,0.0,52.0,2.0
55,Talladora55,2025-08-06 10:37:00,13949.0,160.0,44.0,64.0
56,Talladora56,2025-01-10 01:03:00,1849.0,13.0,35.0,8.0
56,Talladora56,2025-01-22 20:25:00,4591.0,7.0,63.0,22.0
56,Talladora56,2025-03-05 12:25:00,9870.0,203.0,40.0,47.0
56,Talladora56,2025-03-17 07:48:00,2936.0,39.0,35.0,13.0
56,Talladora56,2025-03-21 05:31:00,3057.0,43.0,18.0,9.0
56,Talladora56,2025-04-11 04:39:00,5472.0,67.0,22.0,18.0
56,Talladora56,2025-04-28 09:50:00,2204.0,0.0,42.0,10.0
56,Talladora56,2025-05-14 20:22:00,7192.0,54.0,30.0,32.0
56,Talladora56,2025-05-29 08:58:00,2786.0,0.0,31.0,15.0
56,Talladora56,2025-06-27 03:17:00,4868.0,109.0,49.0,31.0
56,Talladora56,2025-07-14 12:00:00,2252.0,28.0,22.0,12.0
83,Talladora83,2025-01-10 20:23:00,897.0,0.0,40.0,30.0
83,Talladora83,2025-01-10 21:21:00,0.0,0.0,38.0,1.0
83,Talladora83,2025-01-12 22:17:00,143.0,13.0,21.0,2.0
83,Talladora83,2025-01-17 14:16:00,1572.0,14.0,45.0,28.0
83,Talladora83,2025-01-22 04:21:00,1103.0,28.0,48.0,30.0
83,Talladora83,2025-01-23 23:24:00,962.0,0.0,25.0,19.0
83,Talladora83,2025-01-24 19:58:00,286.0,0.0,83.0,9.0
83,Talladora83,2025-02-04 20:14:00,2765.0,93.0,32.0,37.0
83,Talladora83,2025-02-17 11:16:00,3886.0,129.0,11.0,43.0
83,Talladora83,2025-02-19 10:15:00,1312.0,0.0,11.0,8.0
83,Talladora83,2025-02-25 04:39:00,1664.0,0.0,9.0,18.0
83,Talladora83,2025-03-04 12:05:00,2511.0,47.0,24.0,22.0
83,Talladora83,2025-03-12 16:02:00,1864.0,11.0,24.0,34.0
83,Talladora83,2025-03-12 18:15:00,0.0,0.0,44.0,1.0
83,Talladora83,2025-03-17 09:29:00,1092.0,0.0,19.0,17.0
83,Talladora83,2025-03-17 10:05:00,0.0,0.0,22.0,1.0
83,Talladora83,2025-03-17 10:55:00,0.0,0.0,1.0,1.0
83,Talladora83,2025-03-17 11:13:00,0.0,0.0,52.0,1.0
83,Talladora83,2025-03-17 12:23:00,0.0,0.0,25.0,1.0
83,Talladora83,2025-03-20 11:59:00,754.0,0.0,71.0,20.0
83,Talladora83,2025-03-26 20:03:00,1349.0,3.0,39.0,35.0
83,Talladora83,2025-03-28 11:55:00,910.0,13.0,39.0,13.0
83,Talladora83,2025-03-28 15:19:00,182.0,0.0,39.0,3.0
83,Talladora83,2025-04-02 04:28:00,920.0,3.0,18.0,16.0
83,Talladora83,2025-04-21 23:30:00,3282.0,70.0,25.0,56.0
83,Talladora83,2025-04-29 07:08:00,1296.0,61.0,2.0,23.0
83,Talladora83,2025-04-29 07:40:00,0.0,0.0,45.0,1.0
83,Talladora83,2025-05-14 00:14:00,3283.0,98.0,38.0,48.0
83,Talladora83,2025-05-21 07:25:00,1168.0,28.0,23.0,29.0
83,Talladora83,2025-05-21 08:56:00,0.0,0.0,22.0,1.0
83,Talladora83,2025-06-02 19:19:00,1639.0,10.0,80.0,43.0
83,Talladora83,2025-06-09 09:07:00,2087.0,11.0,52.0,33.0
83,Talladora83,2025-06-13 11:31:00,2728.0,0.0,1.0,25.0
83,Talladora83,2025-07-15 08:43:00,3686.0,144.0,73.0,59.0
83,Talladora83,2025-07-15 10:08:00,0.0,0.0,27.0,1.0
83,Talladora83,2025-07-16 07:08:00,325.0,0.0,19.0,6.0
83,Talladora83,2025-07-16 07:45:00,0.0,0.0,33.0,1.0
83,Talladora83,2025-07-17 06:25:00,364.0,13.0,25.0,6.0
83,Talladora83,2025-07-17 07:07:00,0.0,0.0,20.0,1.0
83,Talladora83,2025-07-29 10:01:00,595.0,3.0,27.0,11.0
83,Talladora83,2025-07-29 10:45:00,0.0,0.0,34.0,1.0
83,Talladora83,2025-08-05 02:35:00,712.0,68.0,38.0,19.0
83,Talladora83,2025-08-08 00:21:00,1152.0,5.0,28.0,16.0
83,Talladora83,2025-08-08 00:53:00,0.0,0.0,19.0,1.0
83,Talladora83,2025-08-20 04:59:00,933.0,100.0,59.0,21.0
83,Talladora83,2025-08-20 05:59:00,0.0,0.0,14.0,1.0
83,Talladora83,2025-08-20 06:22:00,253.0,20.0,29.0,2.0
83,Talladora83,2025-08-27 10:59:00,1531.0,78.0,18.0,28.0
83,Talladora83,2025-08-27 11:28:00,0.0,0.0,42.0,1.0
83,Talladora83,2025-09-01 19:09:00,1305.0,8.0,16.0,23.0
